2025-07-15 13:45:38.217 [main] INFO  c.k.t.TliasWebManagement1Application-Starting TliasWebManagement1Application using Java 17.0.14 with PID 32356 (F:\学习资料\编程\后端开发\kei\tlias-web-management1\target\classes started by hp in F:\学习资料\编程\后端开发\kei\tlias-web-management1)
2025-07-15 13:45:38.221 [main] INFO  c.k.t.TliasWebManagement1Application-No active profile set, falling back to 1 default profile: "default"
2025-07-15 13:45:40.413 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-07-15 13:45:40.427 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-07-15 13:45:40.428 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-07-15 13:45:40.429 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.40]
2025-07-15 13:45:40.507 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-07-15 13:45:40.508 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 2230 ms
2025-07-15 13:45:42.219 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver-Exposing 1 endpoint beneath base path '/actuator'
2025-07-15 13:45:42.281 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-07-15 13:45:42.299 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-07-15 13:45:42.315 [main] INFO  c.k.t.TliasWebManagement1Application-Started TliasWebManagement1Application in 4.68 seconds (process running for 6.327)
2025-07-15 13:45:42.597 [RMI TCP Connection(2)-192.168.100.73] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-15 13:45:42.599 [RMI TCP Connection(2)-192.168.100.73] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-07-15 13:45:42.601 [RMI TCP Connection(2)-192.168.100.73] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 2 ms
