2025-05-12 21:30:13.534 [main] INFO  c.k.t.TliasWebManagement1Application-Starting TliasWebManagement1Application using Java 17.0.14 with PID 31980 (F:\学习资料\编程\后端开发\kei\tlias-web-management1\target\classes started by hp in F:\学习资料\编程\后端开发\kei\tlias-web-management1)
2025-05-12 21:30:13.536 [main] INFO  c.k.t.TliasWebManagement1Application-No active profile set, falling back to 1 default profile: "default"
2025-05-12 21:30:14.856 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-05-12 21:30:14.874 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-05-12 21:30:14.876 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-05-12 21:30:14.902 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.40]
2025-05-12 21:30:14.995 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-05-12 21:30:14.996 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 1411 ms
2025-05-12 21:30:15.958 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-05-12 21:30:15.974 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-05-12 21:30:15.982 [main] INFO  c.k.t.TliasWebManagement1Application-Started TliasWebManagement1Application in 2.941 seconds (process running for 4.829)
2025-05-12 21:31:53.317 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-12 21:31:53.318 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-05-12 21:31:53.319 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 1 ms
2025-05-12 21:31:53.347 [http-nio-8080-exec-1] INFO  c.k.t.interceptor.DemoInterceptor-拦截器 preHandle ...
2025-05-12 21:31:53.385 [http-nio-8080-exec-1] INFO  c.k.t.controller.ClazzsController-查询班级列表:ClazzsQueryParam{name='java就业100期', begin=2020-01-01, end=2023-01-01, page=1, pageSize=10}
2025-05-12 21:31:53.485 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2025-05-12 21:31:55.106 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@13ef7557
2025-05-12 21:31:55.108 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2025-05-12 21:31:55.472 [http-nio-8080-exec-1] INFO  c.k.t.interceptor.DemoInterceptor-拦截器 postHandle ...
2025-05-12 21:31:55.472 [http-nio-8080-exec-1] INFO  c.k.t.interceptor.DemoInterceptor-拦截器 afterCompletion ...
2025-05-12 21:33:08.125 [http-nio-8080-exec-5] INFO  c.k.t.interceptor.DemoInterceptor-拦截器 preHandle ...
2025-05-12 21:33:08.125 [http-nio-8080-exec-5] INFO  c.k.t.controller.ClazzsController-查询所有班级
2025-05-12 21:33:08.534 [http-nio-8080-exec-5] INFO  c.k.t.interceptor.DemoInterceptor-拦截器 postHandle ...
2025-05-12 21:33:08.534 [http-nio-8080-exec-5] INFO  c.k.t.interceptor.DemoInterceptor-拦截器 afterCompletion ...
2025-05-12 21:33:32.711 [http-nio-8080-exec-6] INFO  c.k.t.interceptor.DemoInterceptor-拦截器 preHandle ...
2025-05-12 21:33:32.712 [http-nio-8080-exec-6] INFO  c.k.t.controller.ClazzsController-查询所有班级
2025-05-12 21:33:32.734 [http-nio-8080-exec-6] INFO  c.k.t.interceptor.DemoInterceptor-拦截器 postHandle ...
2025-05-12 21:33:32.735 [http-nio-8080-exec-6] INFO  c.k.t.interceptor.DemoInterceptor-拦截器 afterCompletion ...
2025-05-12 21:33:44.538 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Commencing graceful shutdown. Waiting for active requests to complete
2025-05-12 21:33:46.683 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Graceful shutdown complete
2025-05-12 21:33:46.691 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown initiated...
2025-05-12 21:33:46.727 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown completed.
2025-05-12 21:33:50.384 [main] INFO  c.k.t.TliasWebManagement1Application-Starting TliasWebManagement1Application using Java 17.0.14 with PID 37988 (F:\学习资料\编程\后端开发\kei\tlias-web-management1\target\classes started by hp in F:\学习资料\编程\后端开发\kei\tlias-web-management1)
2025-05-12 21:33:50.387 [main] INFO  c.k.t.TliasWebManagement1Application-No active profile set, falling back to 1 default profile: "default"
2025-05-12 21:33:51.574 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-05-12 21:33:51.591 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-05-12 21:33:51.593 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-05-12 21:33:51.593 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.40]
2025-05-12 21:33:51.709 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-05-12 21:33:51.710 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 1280 ms
2025-05-12 21:33:52.634 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-05-12 21:33:52.665 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-05-12 21:33:52.674 [main] INFO  c.k.t.TliasWebManagement1Application-Started TliasWebManagement1Application in 2.695 seconds (process running for 3.572)
2025-05-12 21:34:05.347 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-12 21:34:05.347 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-05-12 21:34:05.348 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 1 ms
2025-05-12 21:34:05.371 [http-nio-8080-exec-2] INFO  c.k.t.interceptor.DemoInterceptor-拦截器 preHandle ...
2025-05-12 21:38:03.986 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Commencing graceful shutdown. Waiting for active requests to complete
2025-05-12 21:38:04.739 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Graceful shutdown complete
